name,address,network,protocol,token_name,token_symbol,token_address,tvl_usd,locked_usd,liquid_usd,number_of_holders,apy_1day,apy_7day,apy_30day,vault_score,vault_tvl_score,protocol_tvl_score,holder_score,network_score,asset_score
AAA,0x687DfeCD7950a17236C51b517FaE2F9279FFC88d,base,morpho,USD Coin,USDC,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,31719,31719,0,,862,866,866,46.64074463884186,0,86.91436159710464,0,20,75
Aave Arbitrum AAVE,0xf329e36C7bF6E5E86ce2150875a84Ce77f477375,arbitrum,aave,Aave Token,AAVE,0xba5DdD1f9d7F570dc94a51479a000E3BCE967196,4293832,0,4293836,2955,6,16,16,70.62128062941943,69.78013754284301,96.89476700883343,69.38230878211634,60,0
Aave Arbitrum LINK,0x191c10Aa4AF7C30e871E70C95dB0E4eb77237530,arbitrum,aave,ChainLink Token,LINK,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,23275613,1917411,21358202,9370,12,16,13,73.02497888595911,74.26570513460736,96.89476700883343,79.4262070366951,60,0
Aave Arbitrum rETH,0x8Eb270e296023E9D92081fdF967dDd7878724424,arbitrum,aave,Rocket Pool ETH,rETH,0xEC70Dcb4A1EFa46b8F2D97C310C9c4790ba5ffA8,5318634,137396,5181238,619,1,1,2,68.52377409451816,69.55971416724681,96.89476700883343,55.692829716902864,60,0
Aave Arbitrum wstETH,0x513c7E3a9c69cA3e22550eF58AC1C0088e918FFf,arbitrum,aave,Wrapped liquid staked Ether 2.0,wstETH,0x5979D7b546E38E414F7E9822514be443A4800529,76762625,1382234,75380391,4339,0,0,0,72.86162263566888,78.47229147049364,96.89476700883343,72.7283835869118,60,0
Aave Ethereum 1INCH,0x71Aef7b30728b9BB371578f36c5A1f1502a5723e,mainnet,aave,1INCH Token,1INCH,0x111111111117dC0aa78b770fA6A738034120C302,734601,68983,665618,94,23,99,88,69.38407304526342,61.76639114090604,96.89476700883343,38.48592009032564,100,0
Aave Ethereum AAVE,0xA700b4eB416Be35b2911fd5Dee80678ff64fF6C9,mainnet,aave,Aave Token,AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,172604837,0,172604837,1833,0,0,0,77.194128203111,80.76888201431366,96.89476700883343,65.21629997809939,100,0
Aave Ethereum BAL,0x2516E7B3F76294e03C42AA4c5b5b4DCE9C436fB8,mainnet,aave,Balancer,BAL,0xba100000625a3754423978a60c9317c58a424e3D,8808433,281049,8527384,170,18,18,18,72.1700612233289,71.49868511279396,96.89476700883343,44.08278264824493,100,0
Aave Ethereum ENS,0x545bD6c032eFdde65A377A6719DEF2796C8E0f2e,mainnet,aave,Ethereum Name Service,ENS,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,361730,67037,294693,68,197,27,3,70.43481976233767,69.43291507629797,96.89476700883343,35.26886629029794,100,0
Aave Ethereum EtherFi PYUSD,0xdF7f48892244C6106EA784609f7de10AB36F9c7e,mainnet,aave,PayPal USD,PYUSD,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,111,1,110,3,0,0,1,69.90804668059498,38.563199385308025,96.89476700883343,0,100,87.5
Aave Ethereum ETHx,0x1c0E06a0b1A4c160c17545FF2A951bfcA57C0002,mainnet,aave,ETHx,ETHx,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,24859060,20429,24838631,57,0,2,1,71.03699663692376,73.81376338600504,96.89476700883343,33.442247707929255,100,0
Aave Ethereum Lido rsETH,0x56D919E7B25aA42F3F8a4BC77b8982048F2E84B4,mainnet,aave,rsETH,rsETH,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,45631993,1,45631992,5,0,0,0,65.54252599523426,71.42309595850439,96.89476700883343,0,100,0
Aave Ethereum LINK,0x5E8C8A7243651DB1384C0dDfDbE39761E8e7E51a,mainnet,aave,ChainLink Token,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,169375787,7939487,161436300,2450,3,6,5,77.58255444601387,80.81194936433633,96.89476700883343,67.74838513075488,100,0
Aave Ethereum LUSD,0x3Fe6a295459FAe07DF8A0ceCC36F37160FE86AA9,mainnet,aave,LUSD Stablecoin,LUSD,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3191190,2596209,594981,96,631,714,384,83.08862766339968,67.63587542207516,96.89476700883343,38.690305169675064,100,100
Aave Ethereum MKR,0x8A458A9dc9048e005d22849F470891b840296619,mainnet,aave,Maker,MKR,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,29936498,56547,29879951,194,0,0,1,72.71265339570782,73.3011704590923,96.89476700883343,45.29675000237324,100,0
Aave Ethereum osETH,0x927709711794F3De5DdBF1D176bEE2D55Ba13c21,mainnet,aave,Staked ETH,osETH,0xf1C9acDc66974dFB6dEcB12aA385b9cD01190E38,252087724,19141,252068583,160,0,0,0,72.98016723048133,75.96964965533206,96.89476700883343,43.52220330587701,100,0
Aave Ethereum rETH,0xCc9EE9483f662091a1de4795249E24aC0aC2630f,mainnet,aave,Rocket Pool ETH,rETH,0xae78736Cd615f374D3085123A210448E74Fc6393,88238411,1397410,86841001,537,0,1,1,75.06247276197777,78.19531585097066,96.89476700883343,54.43668525500176,100,0
Aave Ethereum sDAI,0x4C612E3B15b96Ff9A6faED838F8d07d479a8dD4c,mainnet,aave,Savings Dai,sDAI,0x83F20F44975D03b1b09e64809B757c47f942BEeA,2225312,0,2225312,86,0,0,0,70.4622186869003,67.80911042036303,96.89476700883343,37.61659866196215,100,0
Aave Ethereum SNX,0xC7B4c17861357B8ABB91F25581E7263E08DCB59c,mainnet,aave,Synthetix Network Token,SNX,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,554150,145468,408682,158,136,73,81,71.21182189680987,67.21536690160603,96.89476700883343,43.40561141970188,100,0
Aave Ethereum tBTC,0x10Ac93971cdb1F5c778144084242374473c350Da,mainnet,aave,tBTC v2,tBTC,0x18084fbA666a33d37592fA2633fD49a74DD93a88,89402755,3625726,85777029,139,0,0,1,73.02775576838971,77.19012411254357,96.89476700883343,42.21216094898414,100,0
Aave Ethereum UNI,0xF6D2224916DDFbbab6e6bd0D1B7034f4Ae0CaB18,mainnet,aave,Uniswap,UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,5235844,212371,5023473,304,8,3,3,73.78692141437524,75.61954141692344,96.89476700883343,49.367375516381244,100,0
Aave Optimism AAVE,0xf329e36C7bF6E5E86ce2150875a84Ce77f477375,optimism,aave,Aave Token,AAVE,0x76FB31fb4af56892A25e32cFC43De717950c9278,905713,0,905713,12492,6,10,6,58.54686610583659,0,96.89476700883343,81.92639534868815,60,0
Aave Optimism LINK,0x191c10Aa4AF7C30e871E70C95dB0E4eb77237530,optimism,aave,ChainLink Token,LINK,0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6,1745216,36629,1708587,841,1,2,3,55.01678597280497,0,96.89476700883343,58.392527795143984,60,0
Aave Optimism OP,0x513c7E3a9c69cA3e22550eF58AC1C0088e918FFf,optimism,aave,Optimism,OP,0x4200000000000000000000000000000000000042,9103079,888794,8214285,18274,13,10,9,73.47777373175263,72.17484078218996,96.89476700883343,85.23265847854182,60,0
Aave Optimism rETH,0x724dc807b04555b71ed48a6896b6F41593b8C637,optimism,aave,Rocket Pool ETH,rETH,0x9Bcef72be871e61ED4fBbc7630889beE758eb81D,5644315,40549,5603766,5798,0,0,0,57.54559043927118,0,96.89476700883343,75.25122423825206,60,0
Aave Optimism wstETH,0xc45A479877e1e9Dfe9FcD4056c699575a1045dAA,optimism,aave,Wrapped liquid staked Ether 2.0,wstETH,0x1F32b1c2345538c0c6f582fCB022739c4A194Ebb,40733153,306610,40426543,2915,0,0,1,56.64743547885926,0,96.89476700883343,69.26352450217256,60,0
Aave v2 DAI,0x27F8D03b3a2196956ED754baDc28D73be8830A6e,polygon,aave,(PoS) Dai Stablecoin,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,2283810,1654614,629196,98795,0,0,1,70.21243968729927,77.73839897993365,92.9513917366782,99.89468797760836,20,0
Aave v2 DAI,0x028171bCA77440897B824Ca71D1c56caC55b68A3,mainnet,aave,Dai Stablecoin,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,15204044,10475129,4728915,5109,226,222,209,86.94601079558402,83.83951215647338,92.9513917366782,74.1503444641204,100,75
Aave v2 GUSD,0xD37EE7e4f452C6638c96536e68090De8cBcdb583,mainnet,aave,Gemini dollar,GUSD,0x056Fd409E1d7A124BD7017459dFEa2F387b6d5Cd,491689,98058,393631,209,0,0,0,83.09171146992502,70.07267813792815,92.9513917366782,45.97746098445404,100,100
Aave v2 LUSD,0xce1871f791548600cb59efbefFC9c38719142079,mainnet,aave,LUSD Stablecoin,LUSD,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,63765,63224,541,56,3,3,3,80.8193982147416,68.25262343043195,92.9513917366782,33.255445559892756,100,100
Aave v2 sUSD,0x6C5024Cd4F8A59110119C56f8933403A539555EB,mainnet,aave,Synth sUSD,sUSD,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,218639,120021,98618,378,0,0,0,71.77439178197407,71.98112376880384,92.9513917366782,51.317402223613485,100,0
Aave v2 TUSD,0x101cc05f4A51C0319f570d5E146a8C625198e636,mainnet,aave,TrueUSD,TUSD,0x0000000000085d4780B73119b644AE5ecd22b376,464516,109041,355475,331,0,0,0,60.325137122667755,0,92.9513917366782,50.13053618664315,100,25
Aave v2 USDC,0x1a13F4Ca1d028320A707D99520AbFefca3998b7F,polygon,aave,USD Coin (PoS),USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,3691741,2995095,696646,375924,0,0,1,79.94819278376009,79.46318044544404,92.9513917366782,100,20,75
Aave v2 USDC,0xBcca60bB61934080951369a648Fb03DF4F96263C,mainnet,aave,USD Coin,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,48026136,32780617,15245519,7820,205,203,194,88.26587420129287,87.66131472507821,92.9513917366782,77.85369707737298,100,75
Aave v2 USDP,0x2e8F4bdbE3d47d7d7DE490437AeA9915D930F1A3,mainnet,aave,Pax Dollar,USDP,0x8E870D67F660D95d5be530380D0eC0bd388289E1,196089,63569,132520,39,0,0,0,79.82228528717815,74.08498241074102,92.9513917366782,29.248214069057703,100,87.5
Aave v2 USDT,0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811,mainnet,aave,Tether USD,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,37460642,27380212,10080430,3742,271,282,269,80.85398327181643,86.6625428553773,92.9513917366782,71.43945337379789,100,25
Aave v2 USDT,0x60D55F02A771d515e077c9C2403a1ef324885CeC,polygon,aave,(PoS) Tether USD,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,3264604,850831,2413773,149754,0,0,0,69.92072255004331,76.20082927686012,92.9513917366782,100,20,0
Aave v2 WBTC,0x5c2ed810328349100A66B82b78a1791B101C9D61,polygon,aave,(PoS) Wrapped BTC,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,16489830,946856,15542974,9092,0,0,1,70.9013666881045,81.1058116637302,92.9513917366782,79.1643177379145,20,25
Aave v2 WBTC,0x9ff58f4fFB29fA2266Ab25e75e2A8b3503311656,mainnet,aave,Wrapped BTC,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,130983769,5041669,125942100,2020,6,1,2,80.53212159315726,89.08445315047668,92.9513917366782,66.0644951226043,100,25
Aave v2 WETH,0x28424507fefb6f7f8E9D3860F56504E4e5f5f390,polygon,aave,Wrapped Ether,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,11475081,818759,10656322,241429,0,0,0,83.54593605614862,81.82689680738667,92.9513917366782,100,20,100
Aave v2 WETH,0x030bA81f1c18d280636F32af80b9AAd02Cf0854e,mainnet,aave,Wrapped Ether,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,61175021,14514405,46660616,16396,27,11,10,92.75328465901069,89.64599632335128,92.9513917366782,84.29019133112762,100,100
Aave v3 AAVE,0xf329e36C7bF6E5E86ce2150875a84Ce77f477375,polygon,aave,Aave (PoS),AAVE,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,8089576,0,8089576,28199,0,6,6,69.05116636407251,72.2145228130274,96.89476700883343,89.00236665289107,20,0
Aave v3 ARB,0x6533afac2E7BCCB20dca161449A13A32D391fb00,arbitrum,aave,Arbitrum,ARB,0x912CE59144191C1204E64559FE8253a0e49E6548,12658262,2131731,10526531,8962,31,29,33,73.0725012612421,74.79365616178174,96.89476700883343,79.03908816901581,60,0
AaveV3 ARB Lender,0x39Ce72aCE7722fe38A4AfF02bfbe7789B58c6905,arbitrum,yearn,Arbitrum,ARB,0x912CE59144191C1204E64559FE8253a0e49E6548,1869,1869,0,4,29,29,34,50.230795584231586,54.54070361293992,79.556637154109,0,60,0
Aave v3 cbBTC,0x5c647cE0Ae10658ec44FA4E11A51c96e94efd1Dd,mainnet,aave,Coinbase Wrapped BTC,cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,1034450482,51935577,982514905,740,1,1,1,79.56347751345808,82.95263749252922,96.89476700883343,57.26695474279234,100,25
Aave v3 cbBTC,0xBdb9300b7CDE636d9cD4AFF00f6F009fFBBc8EE6,base,aave,Coinbase Wrapped BTC,cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,127300606,20458885,106841721,4858,8,10,11,71.05986003494955,78.1008466781105,96.89476700883343,73.71189263862718,20,25
Aave v3 cbETH,0x977b6fc5dE62598B08C85AC8Cf2b745874E8b78c,mainnet,aave,Coinbase Wrapped Staked ETH,cbETH,0xBe9895146f7AF43049ca1c1AE358B0541Ea49704,11257244,1631577,9625667,261,28,28,27,76.07302418754468,72.45516836645123,96.89476700883343,47.99389140480705,100,25
Aave v3 cbETH,0xcf3D55c10DB69f28fD1A75Bd73f3D8A2d9c595ad,base,aave,Coinbase Wrapped Staked ETH,cbETH,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,5932366,303357,5629009,7200,3,3,4,70.71294933502004,73.79877668328209,96.89476700883343,77.13524796553502,20,25
Aave v3 CELO,0xC3e77dC389537Db1EEc7C33B95Cf3beECA71A209,celo,aave,Celo native asset,CELO,0x471EcE3750Da237f93B8E339c536989b8978a438,530107,15013,515094,,2,3,4,38.75790680353337,0,96.89476700883343,0,0,0
Aave v3 CRV,0x7B95Ec873268a6BFC6427e7a28e396Db9D0ebc65,mainnet,aave,Curve DAO Token,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,6142568,1895618,4246950,366,170,124,130,72.82838271195163,69.58029706125025,96.89476700883343,51.02944330778802,100,0
Aave v3 crvUSD,0xb82fa9f31612989525992FCfBB09AB22Eff5c85A,mainnet,aave,Curve.Fi USD Stablecoin,crvUSD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,835012,607023,227989,89,365,348,264,70.30034586821773,66.74754165062883,96.89476700883343,37.95287156372395,100,0
Aave V3 crvUSD Lender,0xb0154f71912866Bb69fE26fFc44779D99B9CAE85,mainnet,yearn,Curve.Fi USD Stablecoin,crvUSD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,205,205,0,4,74749,947,196,54.636120360798024,51.567327495772126,79.556637154109,0,100,0
Aave V3 crvUSD Lender,0x27ffA71dBB25A7C52A3Da74C6eED8C94c9A43E0d,mainnet,yearn,Curve.Fi USD Stablecoin,crvUSD,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,158,158,0,1,0,0,0,51.78165309137935,37.29499114867874,79.556637154109,0,100,0
Aave v3 cUSD,0xBba98352628B0B0c4b40583F593fFCb630935a45,celo,aave,Celo Dollar,cUSD,0x765DE816845861e75A25fCA122bb6898B8B1282a,1070478,28892,1041586,,0,3,8,38.75790680353337,0,96.89476700883343,0,0,0
Aave v3 DAI,0x82E64f49Ed5EC1bC6e43DAD4FC8Af9bb3A2312EE,polygon,aave,(PoS) Dai Stablecoin,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,7364458,5569747,1794711,9611,439,448,511,68.67398961240974,77.3451480137102,96.89476700883343,79.64702137422887,20,0
Aave v3 DAI,0x018008bfb33d285247A21d44E50697654f754e63,mainnet,aave,Dai Stablecoin,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,167722401,123150258,44572143,1709,268,272,332,87.0512801988882,83.63854532698141,96.89476700883343,64.60442886639026,100,75
Aave v3 DAI,0x82E64f49Ed5EC1bC6e43DAD4FC8Af9bb3A2312EE,arbitrum,aave,Dai Stablecoin,DAI,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,8678144,5614694,3063450,11203,207,215,273,82.85075043000741,75.35449290728198,96.89476700883343,80.97963363345093,60,75
Aave v3 DAI,0x82E64f49Ed5EC1bC6e43DAD4FC8Af9bb3A2312EE,optimism,aave,Dai Stablecoin,DAI,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,2387419,1600265,787154,8655,225,224,277,82.26866038650132,74.12677990177998,96.89476700883343,78.73598401741302,60,75
Aave V3 DAI Lender,0xEed00e00236cD7F36F2558D8b5fD05046449599D,mainnet,yearn,Dai Stablecoin,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,1712,1712,0,4,0,0,0,62.439409265002794,43.70877201679598,79.556637154109,0,100,75
Aave V3 DAI Lender,0xF0825750791A4444c5E70743270DcfA8Bb38f959,mainnet,yearn,Dai Stablecoin,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,705,705,0,4,257,272,327,61.90779419974674,41.0506966905157,79.556637154109,0,100,75
AaveV3 DAI Lender,0xf4F9d5697341B4C9B0Cc8151413e05A90f7dc24F,polygon,yearn,(PoS) Dai Stablecoin,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,534482,534482,0,13,421,431,490,49.70823578633739,69.77102362305696,79.556637154109,9.542508000549317,20,0
Aave v3 EtherFi Market FRAX,0x6914ECCf50837dC61b43ee478a9BD9B439648956,mainnet,aave,Frax,FRAX,0x853d955aCEf822Db058eb8505911ED77F175b99e,546128,117550,428578,6,25,25,110,67.83059107206283,67.2384213426473,96.89476700883343,0,100,25
Aave v3 EtherFi Market USDC,0x7380c583cDe4409eFF5DD3320D93a45D96B80E2e,mainnet,aave,USD Coin,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,247265,142379,104886,40,201,204,239,76.46299029317726,56.993406125344414,96.89476700883343,29.542681763833283,100,75
Aave v3 EtherFi Market weETH,0xbe1F842e7e0afd2c2322aae5d34bA899544b29db,mainnet,aave,Wrapped eETH,weETH,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,816386,0,816386,44,0,0,0,68.78497016844115,64.66293348280057,96.89476700883343,30.629844455651053,100,0
Aave v3 EURS,0x38d693cE1dF5AaDF7bC62595A37D667aD57922e5,polygon,aave,STASIS EURS Token (PoS),EURS,0xE111178A87A3BFf0c8d18DECBa5798827539Ae99,2749376,1728257,1021119,275,362,373,377,61.78429889576292,66.28295654872497,96.89476700883343,48.46533854989706,20,0
Aave v3 EURS,0x6d80113e533a2C0fe82EaBD35f1875DcEA89Ea97,arbitrum,aave,STASIS EURS Token,EURS,0xD22a58f79e9481D1a88e00c343885A588b34b68B,37019,10231,26788,201,42,43,45,65.05904653197962,59.78990086362875,96.89476700883343,45.62106370480328,60,0
Aave v3 FRAX,0xd4e245848d6E1220DBE62e155d89fa327E43CB06,mainnet,aave,Frax,FRAX,0x853d955aCEf822Db058eb8505911ED77F175b99e,452151,336266,115885,54,295,300,425,72.96181748257226,68.24254906910102,96.89476700883343,32.869339101457854,100,25
Aave v3 FRAX,0x38d693cE1dF5AaDF7bC62595A37D667aD57922e5,arbitrum,aave,Frax,FRAX,0x17FC002b466eEc40DaE837Fc4bE5c67993ddBd6F,278110,194945,83165,136,266,267,330,67.7039378101523,60.0993231308686,96.89476700883343,42.00777586963472,60,25
Aave v3 GHO,0xeBe517846d0F36eCEd99C735cbF6131e1fEB775D,arbitrum,aave,Gho Token,GHO,0x7dfF72693f6A4149b17e7C6314655f6A9F7c8B33,4328721,1653156,2675565,386,124,130,206,71.5025236566763,71.96993098697719,96.89476700883343,51.50420437164998,60,25
Aave v3 GHST,0x8Eb270e296023E9D92081fdF967dDd7878724424,polygon,aave,Aavegotchi GHST Token (PoS),GHST,0x385Eeac5cB85A38A9a07A70c73e0a3271CfB54A7,731566,5355,726211,1666,0,0,0,63.639381026395185,63.621046611705154,96.89476700883343,64.38176600347188,20,0
Aave v3 LDO,0x9A44fd41566876A39655f74971a3A6eA0a17a454,mainnet,aave,Lido DAO Token,LDO,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,1412945,86575,1326370,163,4,7,3,71.4835665086107,68.3576423487546,96.89476700883343,43.69420823550944,100,0
Aave V3 Lido USDC Lender,0x522478B54046aB7197880F2626b74a96d45B9B02,mainnet,yearn,USD Coin,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,401,401,0,3,298,302,757,53.6976548616436,0,79.556637154109,0,100,75
Aave V3 Lido USDS Lender,0xC08d81aba10f2dcBA50F9A3Efbc0988439223978,mainnet,yearn,USDS Stablecoin,USDS,0xdC035D45d973E3EC169d2276DDab16f1e407384F,59,59,0,3,138,157,237,51.070418999209025,33.738820687827115,79.556637154109,0,100,0
Aave V3 Lido WETH Lender,0xC7baE383738274ea8C3292d53AfBB3b42B348DF0,mainnet,yearn,Wrapped Ether,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,181357,181357,0,4,169,163,175,69.58931416510964,63.8332965173302,79.556637154109,0,100,100
Aave v3 LINK,0x191c10Aa4AF7C30e871E70C95dB0E4eb77237530,polygon,aave,ChainLink Token,LINK,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,6919707,661685,6258022,3888,12,16,14,66.38458590689798,71.803810769475,96.89476700883343,71.77277966313073,20,0
Aave v3 LUSD,0x8Eb270e296023E9D92081fdF967dDd7878724424,optimism,aave,LUSD Stablecoin,LUSD,0xc40F949F8a4e094D1b49a23ea9241D289B7b2819,154472,87194,67278,124,152,146,237,77.86674730410205,64.69036167188996,96.89476700883343,41.13845444127123,60,100
Aave v3 LUSD,0x8ffDf2DE812095b1D19CB146E4c004587C0A0692,arbitrum,aave,LUSD Stablecoin,LUSD,0x93b346b6BC2548dA6A1E7d98E9a421B42541425b,472098,267282,204816,249,194,192,265,79.6165306306605,68.61684066274124,96.89476700883343,47.5683712971926,60,100
Aave v3 MaticX,0x80cA0d8C38d2e2BcbaB66aA1648Bd1C7160500FE,polygon,aave,Liquid Staking Matic (PoS),MaticX,0xfa68FB4628DFF1028CFEc22b4162FCcd0d45efb6,7606162,56622,7549540,2265,0,1,0,65.9552726645034,73.1891941213238,96.89476700883343,67.06351357803507,20,0
Aave v3 Prime ezETH,0x74e5664394998f13B07aF42446380ACef637969f,mainnet,aave,Renzo Restaked ETH,ezETH,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,323093252,0,323093252,41,0,0,0,72.07112702425061,81.69548133814293,96.89476700883343,29.827493020590953,100,0
Aave v3 Prime GHO,0x18eFE565A5373f430e2F809b97De30335B3ad96A,mainnet,aave,Gho Token,GHO,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,33459244,25228389,8230855,12,251,267,241,69.45617132093842,70.85083342109505,96.89476700883343,6.020652221240242,100,25
Aave v3 Prime sUSDe,0xc2015641564a5914A17CB9A92eC8d8feCfa8f2D0,mainnet,aave,Staked USDe,sUSDe,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,36870110,0,36870110,17,0,0,0,68.70453722533111,74.55657137351683,96.89476700883343,16.902107647295843,100,0
Aave v3 Prime USDC,0x2A1FBcb52Ed4d9b23daD17E1E8Aed4BB0E6079b8,mainnet,aave,USD Coin,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4953354,3425193,1528161,89,298,313,333,79.9304239197028,68.02293190805418,96.89476700883343,37.95287156372395,100,75
Aave v3 Prime USDS,0x09AA30b182488f769a9824F15E6Ce58591Da4781,mainnet,aave,USDS Stablecoin,USDS,0xdC035D45d973E3EC169d2276DDab16f1e407384F,120306992,51714630,68592362,3,146,151,221,66.98855067524609,78.65321935856358,96.89476700883343,0,100,0
Aave v3 Prime WETH,0xfA1fDbBD71B0aA16162D76914d69cD8CB3Ef92da,mainnet,aave,Wrapped Ether,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,349418324,312190822,37227502,404,182,174,179,88.4350404626147,84.45288671656272,96.89476700883343,51.91037543845851,100,100
Aave v3 Prime wstETH,0xC035a7cf15375cE2706766804551791aD035E0C2,mainnet,aave,Wrapped liquid staked Ether 2.0,wstETH,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,481961782,321580262,160381520,311,25,22,25,75.32635052461333,83.16339815860174,96.89476700883343,49.571760595730666,100,0
Aave v3 pyUSD,0x0C0d01AbF3e6aDfcA0989eBbA9d6e85dD58EaB1E,mainnet,aave,PayPal USD,PYUSD,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,17580916,5967246,11613670,101,134,137,171,83.38850644446785,76.57962201275663,96.89476700883343,39.18116825588762,100,87.5
Aave v3 RPL,0xB76CF92076adBF1D9C39294FA8e7A67579FDe357,mainnet,aave,Rocket Pool Protocol,RPL,0xD33526068D116cE69F19A9ee46F0bd304F21A51f,1766530,643764,1122766,135,111,105,101,71.14482953930859,67.98069020927768,96.89476700883343,41.93856462613117,100,0
Aave v3 rsETH,0x2D62109243b87C4bA3EE7bA1D91B0dD0A074d7b1,mainnet,aave,rsETH,rsETH,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,761960146,99754,761860392,74,0,0,0,73.55326839173199,84.38387294541198,96.89476700883343,36.12391332744145,100,0
Aave v3 stMATIC,0xEA1132120ddcDDA2F119e99Fa7A27a0d036F7Ac9,polygon,aave,Staked MATIC (PoS),stMATIC,0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4,263965,1,263964,836,0,1,0,64.29157807915257,71.41327552026604,96.89476700883343,58.340107810439925,20,0
Aave v3 sUSD,0x6d80113e533a2C0fe82EaBD35f1875DcEA89Ea97,optimism,aave,Synth sUSD,sUSD,0x8c6f28f2F1A3C87F0f938b96d27520d9751ec8d9,3521824,2226449,1295375,15805,263,236,169,73.84022019797786,74.93322535718588,96.89476700883343,83.9711221533821,60,0
Aave v3 sUSDe,0x4579a27aF00A62C0EB156349f31B345c08386419,mainnet,aave,Staked USDe,sUSDe,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,245966795,0,245966795,279,0,0,0,75.26426214681891,83.58517586509004,96.89476700883343,48.595467801783556,100,0
Aave v3 USDbC,0x0a1d576f3eFeF75b330424287a95A366e8281D54,base,aave,USD Base Coin,USDbC,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,763453,554991,208462,25831,293,376,359,68.45710001294218,69.81579520256874,96.89476700883343,88.24022779263373,20,0
Aave v3 USDC,0xA4D94019934D8333Ef880ABFFbF2FDd611C762BD,polygon,aave,USD Coin,USDC,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,46022553,28905459,17117094,7366,328,341,357,77.99921257583568,78.83139914274845,96.89476700883343,77.33350629168409,20,75
Aave v3 USDC,0xFF8309b9e99bfd2D4021bc71a362aBD93dBd4785,celo,aave,USDC,USDC,0xcebA9300f2b948710d2653dD7B07f33A8B32118C,794882,99988,694894,,11,4,50,38.75790680353337,0,96.89476700883343,0,0,0
